country,date_extraction,track_id,streams,album,artist,duration_ms,track_name,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,not_explicit,explicit
Peru,2020-01-05,2b6i9zx3ULzKrNWmyP0ePD,0.012411244747138096,C90 (Remix),"John C,Neo Pistea,Bhavi,Trueno",0.3967373167456985,C90 (Remix),0.867,0.7609999999999999,0.09090909090909091,0.7549821829220008,1.0,0.0937,0.336,2.12e-06,0.0654,0.609,0.4294044086634157,1,0
Peru,2020-01-06,2UAWYufVaO3EnUUNzl0ppO,0.022170699898565426,Caravana,WOS,0.2116320401083422,CANGURO,0.602,0.7509999999999999,0.09090909090909091,0.8039461528309357,1.0,0.327,0.17300000000000001,0.0,0.667,0.934,0.7322095854021295,0,1
Peru,2020-01-06,2mlGPkAx4kwF8Df0GlScsC,0.022069265323866105,Pop Food,Jack Stauber,0.2291421874878736,Buttercup,0.705,0.373,0.6363636363636364,0.4932691038669658,1.0,0.0384,0.723,0.81,0.289,0.551,0.4079012601466594,1,0
Peru,2020-01-07,2IA8cFA46DkjgbsRG7kKbp,0.027264164613824082,Baby,"Amenazzy,Nicky Jam,Farruko",0.27252097383799895,Baby,0.7,0.71,1.0,0.7724693150323346,1.0,0.0532,0.327,0.0,0.129,0.5820000000000001,0.7625256210088569,1,0
Peru,2020-01-07,0VSOVYL24a8W59IZ6nmhAb,0.025597739458049558,Como Mirarte,Josimar y Su Yambú,0.25145322892333005,Como Mirarte,0.654,0.865,0.6363636363636364,0.7735251418767323,1.0,0.0527,0.488,0.0,0.0504,0.564,0.2141213381381202,1,0
Peru,2020-01-07,0KHhNlHN5lWn7q332PiPys,0.024018258223445877,ADN,Manuel Turizo,0.20899178120464723,Sola,0.7040000000000001,0.706,1.0,0.7462056222779464,0.0,0.111,0.483,0.0,0.0965,0.856,0.20751352271297804,1,0
Peru,2020-01-09,1HfMVBKM75vxSfsQ5VefZ5,0.031785248514708014,Lose You To Love Me,Selena Gomez,0.22670836858076382,Lose You To Love Me,0.505,0.34,0.36363636363636365,0.4972944437112313,1.0,0.0438,0.5760000000000001,0.0,0.21,0.0916,0.2743168347602168,1,0
Peru,2020-01-09,5jJTqI5yteOyLWoDTjiHCO,0.0282060570931749,Ciclos,Luis Enrique,0.31273331212020083,Yo No Se Manana - Salsa Version,0.636,0.83,0.36363636363636365,0.8801636531608816,0.0,0.0423,0.657,0.0,0.168,0.732,0.22422914986347778,1,0
Peru,2020-01-09,3fyzx4Og54r8zCW9Nu8qwi,0.02456165773076366,UNO,"Nacho,Manuel Turizo",0.22053379484831317,Déjalo,0.746,0.777,1.0,0.6823280981918965,1.0,0.0659,0.19899999999999998,0.0,0.0604,0.643,0.22271963771708475,1,0
Peru,2020-01-10,5sK3o66yupTNIK6gWgzGjf,0.04018982756122301,Rare,Selena Gomez,0.17089196048148636,Dance Again,0.784,0.552,0.09090909090909091,0.612379569750561,0.0,0.0871,0.0447,0.0,0.192,0.465,0.34824593208675236,1,0
Peru,2020-01-11,3QwBODjSEzelZyVjxPOHdq,0.021576583103897987,Motivan2,"Zion & Lennox,J Balvin",0.23135714895499454,Otra vez (feat. J Balvin),0.8320000000000001,0.772,0.9090909090909091,0.733271743434077,1.0,0.1,0.0559,0.00048600000000000005,0.44,0.7040000000000001,0.23008960878476867,1,0
Peru,2020-01-11,5lwVd35Zg6DJ4qibVMq99H,0.02131575134038545,Date La Vuelta,"Luis Fonsi,Sebastian Yatra,Nicky Jam",0.24737565094566594,Date La Vuelta,0.747,0.825,0.5454545454545454,0.8999604064933351,1.0,0.0566,0.0487,0.0,0.107,0.866,0.21521647440118977,1,0
Peru,2020-01-12,32lexhcz93AinKK0qLTZaZ,0.013374873206781625,Ni Gucci Ni Prada,Kenny Man,0.17819031284196474,Ni Gucci Ni Prada,0.799,0.6759999999999999,0.18181818181818182,0.7190840702124852,1.0,0.16899999999999998,0.41,0.0007769999999999999,0.325,0.91,0.29624175872964187,1,0
Peru,2020-01-12,7dNwJbsT0sg1le5kVugGJb,0.01205622373569048,Bubalu,"Becky G,Prince Royce,DJ Luian,Mambo Kingz,Anuel AA",0.26091066425561305,Bubalu,0.8,0.355,0.5454545454545454,0.40062029827108353,0.0,0.0895,0.616,0.0,0.11800000000000001,0.253,0.5994243135049538,1,0
Peru,2020-01-14,21jGcNKet2qwijlDFuPiPb,0.02719895667294595,Hollywood's Bleeding,Post Malone,0.24040170429410715,Circles,0.695,0.762,0.0,0.8607628348950772,1.0,0.0395,0.192,0.00244,0.0863,0.5529999999999999,0.4078716618692791,1,0
Peru,2020-01-14,2RVrdr062uLFxXwIxwdXPH,0.025083321257788727,Te Amo,"Piso 21,Paulo Londra",0.21842593383054845,Te Amo,0.8490000000000001,0.7240000000000001,0.45454545454545453,0.8183977827636268,1.0,0.0665,0.0204,5.98e-06,0.235,0.63,0.24480735221210112,1,0
Peru,2020-01-14,3VyjsVV24RmBIbWJAeUJNu,0.024735545573105346,No Idea,Don Toliver,0.1459422123227604,No Idea,0.6509999999999999,0.631,0.5454545454545454,0.7142668602349215,0.0,0.0896,0.519,0.000579,0.165,0.35,0.46671303730122893,1,0
Peru,2020-01-16,7eOkHIcaoUhngxxypM5Ajr,0.031604115345602084,Rare,Selena Gomez,0.15862507857913405,Look At Her Now,0.753,0.564,0.9090909090909091,0.5696845717302363,0.0,0.252,0.114,0.0273,0.359,0.55,0.09191005083504132,1,0
Peru,2020-01-17,5KawlOMHjWeUjQtnuRs22c,0.03335023909578322,MAP OF THE SOUL : PERSONA,"BTS,Halsey",0.2628974552001925,Boy With Luv (feat. Halsey),0.645,0.862,1.0,0.7776164708987726,0.0,0.0965,0.0923,0.0,0.192,0.7979999999999999,0.4074942838326808,1,0
Peru,2020-01-17,0PabDDMMzwmn9cfJsfes7W,0.02710476742501087,Chica Bombastic,Wisin & Yandel,0.20604574275713808,Chica Bombastic,0.777,0.754,0.7272727272727273,0.867691698561436,1.0,0.185,0.0384,0.0,0.0393,0.78,0.7922792893453601,1,0
Peru,2020-01-20,0rZlPXF9Kx92ySiY237rsN,0.05023909578321982,Como Se Perdona,You Salsa,0.37899434230234924,Como Se Perdona,0.5820000000000001,0.826,0.6363636363636364,0.7285865118120628,0.0,0.0565,0.371,0.00312,0.0991,0.5710000000000001,0.821004417542899,1,0
Peru,2020-01-21,62vIBUC9hTfE4nlT3x90uH,0.11808433560353572,No Te Contaron Mal,You Salsa,0.33903190506864517,No Te Contaron Mal,0.64,0.8220000000000001,0.6363636363636364,0.7409924772337336,1.0,0.036000000000000004,0.0211,0.0612,0.147,0.562,0.7770065782171476,1,0
Peru,2020-01-21,2E82gORVSA7UMEz5M1IP3b,0.034060281118678454,OCEAN,KAROL G,0.19054566902856787,Punto G,0.7909999999999999,0.746,0.5454545454545454,0.7803220271875412,1.0,0.0907,0.00938,0.000117,0.125,0.905,0.7478966724136655,1,0
Peru,2020-01-22,5qN1G8fSHq4Sv5FRoOkNGu,0.025163019852195333,Homerun,Paulo Londra,0.1833652823804239,Por Eso Vine,0.76,0.6459999999999999,0.7272727272727273,0.7584136201662928,0.0,0.433,0.233,0.0,0.0905,0.625,0.9107981915452519,1,0
Peru,2020-01-23,0i9oiUkWOgvtnjkr0fa3XN,0.12872772062019996,Piensan,"Haze,Myke Towers",0.17547554927784806,Piensan,0.677,0.722,0.18181818181818182,0.7983370727200738,0.0,0.0626,0.5379999999999999,0.0,0.11,0.7859999999999999,0.7923384859001203,1,0
Peru,2020-01-23,0jeS8PyyIRAG0A3t5DtL71,0.05954209534850022,La Playa,Myke Towers,0.22868429426236506,La Playa,0.7959999999999999,0.6829999999999999,0.9090909090909091,0.909792793981787,0.0,0.15,0.10800000000000001,0.0,0.107,0.353,0.5563514203473356,0,1
Peru,2020-01-23,7HMmFQsKsljwTw8bS7lu19,0.025880307201854802,Rare,Selena Gomez,0.2486422301728353,Rare,0.838,0.545,0.45454545454545453,0.648541639171176,1.0,0.0706,0.20800000000000002,8.01e-05,0.10300000000000001,0.631,0.3705482340927756,1,0
Peru,2020-01-23,5KbBGUpIZd6gVFUU8tqYiQ,0.02475728155339806,Si Se Da,"Myke Towers,Farruko",0.2741352414804697,Si Se Da,0.83,0.71,1.0,0.7270687607232414,0.0,0.326,0.374,0.0,0.0877,0.703,0.21500188689018293,0,1
Peru,2020-01-23,5Qykmc6YTWMvZMmBcHUdMU,0.023757426459933343,ADN,Manuel Turizo,0.2614446143219688,Nada Ha Cambiado,0.731,0.6459999999999999,0.5454545454545454,0.8027583476309884,1.0,0.24100000000000002,0.0778,0.0,0.0595,0.38799999999999996,0.792064701834353,1,0
Peru,2020-01-24,25qU7UPwnrWJ4cfnwbrboq,0.026387480075351397,Intuición,Gian Marco,0.2585125454982887,Sácala a Bailar,0.809,0.9179999999999999,0.18181818181818182,0.7261449122343935,0.0,0.0444,0.244,0.0112,0.0542,0.8270000000000001,0.29664873504362044,1,0
Peru,2020-01-25,2D3z17LBMJ2HEHeBFFjTLi,0.022511230256484566,Reggaeton,J Balvin,0.1527345538645412,Reggaeton,0.747,0.74,0.36363636363636365,0.8061237956975057,0.0,0.191,0.0165,9.940000000000002e-05,0.10099999999999999,0.552,0.8223733378717358,1,0
Peru,2020-01-26,6MJUCumnQsQEKbCy28tbCP,0.014809447906100566,Adictiva,"Daddy Yankee,Anuel AA",0.22887366027427028,Adictiva,0.7879999999999999,0.7709999999999999,0.36363636363636365,0.8799656856275572,0.0,0.0563,0.29100000000000004,5.6200000000000004e-05,0.172,0.701,0.2524511073455524,1,0
Peru,2020-01-26,3YntiCUU0Xqq0B68FM3YAt,0.013621214316765686,Rutina,Myke Towers,0.24342224740203802,Rutina,0.8340000000000001,0.75,0.09090909090909091,0.906823280981919,1.0,0.18,0.5529999999999999,6.59e-05,0.263,0.858,0.22982322428834634,0,1
